scenario,system,phase,version,metric,value
big-binary,cavs,push,1,time_s,3.05
big-binary,cavs,push,1,remote_kb,210870
big-binary,cavs,push,1,remote_growth_kb,210870
big-binary,cavs,update,1,time_s,4.38
big-binary,cavs,update,1,dl_total_kb,102400
big-binary,cavs,push,2,time_s,1.96
big-binary,cavs,push,2,remote_kb,221878
big-binary,cavs,push,2,remote_growth_kb,11008
big-binary,cavs,update,2,time_s,3.19
big-binary,cavs,update,2,dl_total_kb,105351
big-binary,cavs,push,3,time_s,2.12
big-binary,cavs,push,3,remote_kb,232556
big-binary,cavs,push,3,remote_growth_kb,10678
big-binary,cavs,update,3,time_s,2.72
big-binary,cavs,update,3,dl_total_kb,108114
big-binary,cavs,push,4,time_s,2.04
big-binary,cavs,push,4,remote_kb,244065
big-binary,cavs,push,4,remote_growth_kb,11509
big-binary,cavs,update,4,time_s,2.85
big-binary,cavs,update,4,dl_total_kb,111267
big-binary,cavs,push,5,time_s,1.93
big-binary,cavs,push,5,remote_kb,255844
big-binary,cavs,push,5,remote_growth_kb,11779
big-binary,cavs,update,5,time_s,2.91
big-binary,cavs,update,5,dl_total_kb,114528
big-binary,cavs,clone_cold,5,time_s,3.70
big-binary,cavs,clone_cold,5,dl_total_kb,106496
big-binary,cavs,verify,5,sha256_ok,1
big-binary,cavs,clone_warm,5,time_s,2.76
big-binary,cavs,clone_warm,5,dl_new_kb,0
big-binary,cavs,storage,5,store_kb,120663
big-binary,cavs,storage,5,export_kb,135154
big-binary,cavs,breakdown,5,store_pack_data_kb,114529
big-binary,cavs,breakdown,5,store_pack_index_kb,337
big-binary,cavs,breakdown,5,store_meta_kb,5796
big-binary,cavs,breakdown,5,export_pack_kb,114529
big-binary,cavs,breakdown,5,export_index_kb,337
big-binary,cavs,breakdown,5,export_manifest_kb,5977
big-binary,cavs,breakdown,5,export_chunkmap_kb,9926
big-binary,cavs,breakdown,5,export_record_kb,4382
big-binary,cavs,logical,5,latest_version_kb,106496
many-files,cavs,push,1,time_s,4.62
many-files,cavs,push,1,remote_kb,183274
many-files,cavs,push,1,remote_growth_kb,183274
many-files,cavs,update,1,time_s,4.65
many-files,cavs,update,1,dl_total_kb,88516
many-files,cavs,push,2,time_s,2.48
many-files,cavs,push,2,remote_kb,193721
many-files,cavs,push,2,remote_growth_kb,10447
many-files,cavs,update,2,time_s,2.30
many-files,cavs,update,2,dl_total_kb,93379
many-files,cavs,push,3,time_s,2.43
many-files,cavs,push,3,remote_kb,201860
many-files,cavs,push,3,remote_growth_kb,8139
many-files,cavs,update,3,time_s,2.37
many-files,cavs,update,3,dl_total_kb,97180
many-files,cavs,push,4,time_s,2.74
many-files,cavs,push,4,remote_kb,209797
many-files,cavs,push,4,remote_growth_kb,7937
many-files,cavs,update,4,time_s,2.16
many-files,cavs,update,4,dl_total_kb,100930
many-files,cavs,clone_cold,4,time_s,5.05
many-files,cavs,clone_cold,4,dl_total_kb,88527
many-files,cavs,verify,4,sha256_ok,1
many-files,cavs,clone_warm,4,time_s,2.71
many-files,cavs,clone_warm,4,dl_new_kb,0
many-files,cavs,storage,4,store_kb,103212
many-files,cavs,storage,4,export_kb,106488
many-files,cavs,breakdown,4,store_pack_data_kb,100930
many-files,cavs,breakdown,4,store_pack_index_kb,303
many-files,cavs,breakdown,4,store_meta_kb,1977
many-files,cavs,breakdown,4,export_pack_kb,100930
many-files,cavs,breakdown,4,export_index_kb,303
many-files,cavs,breakdown,4,export_manifest_kb,1682
many-files,cavs,breakdown,4,export_chunkmap_kb,2246
many-files,cavs,breakdown,4,export_record_kb,1324
many-files,cavs,logical,4,latest_version_kb,88527
tensor,cavs,push,1,time_s,1.84
tensor,cavs,push,1,remote_kb,43071
tensor,cavs,push,1,remote_growth_kb,43071
tensor,cavs,update,1,time_s,3.55
tensor,cavs,update,1,dl_total_kb,32768
tensor,cavs,push,2,time_s,1.79
tensor,cavs,push,2,remote_kb,46811
tensor,cavs,push,2,remote_growth_kb,3740
tensor,cavs,update,2,time_s,2.53
tensor,cavs,update,2,dl_total_kb,34674
tensor,cavs,push,3,time_s,1.78
tensor,cavs,push,3,remote_kb,52953
tensor,cavs,push,3,remote_growth_kb,6142
tensor,cavs,update,3,time_s,2.52
tensor,cavs,update,3,dl_total_kb,38111
tensor,cavs,clone_cold,3,time_s,2.46
tensor,cavs,clone_cold,3,dl_total_kb,32768
tensor,cavs,verify,3,sha256_ok,1
tensor,cavs,clone_warm,3,time_s,2.12
tensor,cavs,clone_warm,3,dl_new_kb,0
tensor,cavs,storage,3,store_kb,25138
tensor,cavs,storage,3,export_kb,27788
tensor,cavs,breakdown,3,store_pack_data_kb,23868
tensor,cavs,breakdown,3,store_pack_index_kb,112
tensor,cavs,breakdown,3,store_meta_kb,1158
tensor,cavs,breakdown,3,export_pack_kb,23868
tensor,cavs,breakdown,3,export_index_kb,112
tensor,cavs,breakdown,3,export_manifest_kb,1124
tensor,cavs,breakdown,3,export_chunkmap_kb,1856
tensor,cavs,breakdown,3,export_record_kb,825
tensor,cavs,logical,3,latest_version_kb,32768
