scenario,system,phase,version,metric,value
big-binary,cavs-fastcdc-16k,push,1,time_s,4.29
big-binary,cavs-fastcdc-16k,push,1,remote_kb,212487
big-binary,cavs-fastcdc-16k,push,1,remote_growth_kb,212487
big-binary,cavs-fastcdc-16k,update,1,time_s,5.47
big-binary,cavs-fastcdc-16k,update,1,dl_total_kb,102400
big-binary,cavs-fastcdc-16k,push,2,time_s,3.22
big-binary,cavs-fastcdc-16k,push,2,remote_kb,223781
big-binary,cavs-fastcdc-16k,push,2,remote_growth_kb,11294
big-binary,cavs-fastcdc-16k,update,2,time_s,4.83
big-binary,cavs-fastcdc-16k,update,2,dl_total_kb,105351
big-binary,cavs-fastcdc-16k,push,3,time_s,3.09
big-binary,cavs-fastcdc-16k,push,3,remote_kb,234744
big-binary,cavs-fastcdc-16k,push,3,remote_growth_kb,10963
big-binary,cavs-fastcdc-16k,update,3,time_s,4.88
big-binary,cavs-fastcdc-16k,update,3,dl_total_kb,108114
big-binary,cavs-fastcdc-16k,push,4,time_s,4.43
big-binary,cavs-fastcdc-16k,push,4,remote_kb,246545
big-binary,cavs-fastcdc-16k,push,4,remote_growth_kb,11801
big-binary,cavs-fastcdc-16k,update,4,time_s,3.73
big-binary,cavs-fastcdc-16k,update,4,dl_total_kb,111267
big-binary,cavs-fastcdc-16k,push,5,time_s,302.82
big-binary,cavs-fastcdc-16k,push,5,remote_kb,258621
big-binary,cavs-fastcdc-16k,push,5,remote_growth_kb,12076
big-binary,cavs-fastcdc-16k,update,5,time_s,2.83
big-binary,cavs-fastcdc-16k,update,5,dl_total_kb,114528
big-binary,cavs-fastcdc-16k,clone_cold,5,time_s,3.06
big-binary,cavs-fastcdc-16k,clone_cold,5,dl_total_kb,106496
big-binary,cavs-fastcdc-16k,verify,5,sha256_ok,1
big-binary,cavs-fastcdc-16k,clone_warm,5,time_s,4.23
big-binary,cavs-fastcdc-16k,clone_warm,5,dl_new_kb,0
big-binary,cavs-fastcdc-16k,storage,5,store_kb,123440
big-binary,cavs-fastcdc-16k,storage,5,export_kb,135154
big-binary,cavs-fastcdc-16k,breakdown,5,store_pack_data_kb,114529
big-binary,cavs-fastcdc-16k,breakdown,5,store_pack_index_kb,337
big-binary,cavs-fastcdc-16k,breakdown,5,store_meta_kb,8573
big-binary,cavs-fastcdc-16k,breakdown,5,export_pack_kb,114529
big-binary,cavs-fastcdc-16k,breakdown,5,export_index_kb,337
big-binary,cavs-fastcdc-16k,breakdown,5,export_manifest_kb,5977
big-binary,cavs-fastcdc-16k,breakdown,5,export_chunkmap_kb,9926
big-binary,cavs-fastcdc-16k,breakdown,5,export_record_kb,4382
big-binary,cavs-fastcdc-16k,logical,5,latest_version_kb,106496
compressible,cavs-fastcdc-16k,push,1,time_s,2.14
compressible,cavs-fastcdc-16k,push,1,remote_kb,41116
compressible,cavs-fastcdc-16k,push,1,remote_growth_kb,41116
compressible,cavs-fastcdc-16k,update,1,time_s,3.20
compressible,cavs-fastcdc-16k,update,1,dl_total_kb,65464
compressible,cavs-fastcdc-16k,push,2,time_s,1.72
compressible,cavs-fastcdc-16k,push,2,remote_kb,46484
compressible,cavs-fastcdc-16k,push,2,remote_growth_kb,5368
compressible,cavs-fastcdc-16k,update,2,time_s,2.44
compressible,cavs-fastcdc-16k,update,2,dl_total_kb,70251
compressible,cavs-fastcdc-16k,push,3,time_s,2.26
compressible,cavs-fastcdc-16k,push,3,remote_kb,51710
compressible,cavs-fastcdc-16k,push,3,remote_growth_kb,5226
compressible,cavs-fastcdc-16k,update,3,time_s,2.45
compressible,cavs-fastcdc-16k,update,3,dl_total_kb,74741
compressible,cavs-fastcdc-16k,push,4,time_s,1.75
compressible,cavs-fastcdc-16k,push,4,remote_kb,56918
compressible,cavs-fastcdc-16k,push,4,remote_growth_kb,5208
compressible,cavs-fastcdc-16k,update,4,time_s,2.51
compressible,cavs-fastcdc-16k,update,4,dl_total_kb,79273
compressible,cavs-fastcdc-16k,clone_cold,4,time_s,2.68
compressible,cavs-fastcdc-16k,clone_cold,4,dl_total_kb,65464
compressible,cavs-fastcdc-16k,verify,4,sha256_ok,1
compressible,cavs-fastcdc-16k,clone_warm,4,time_s,2.85
compressible,cavs-fastcdc-16k,clone_warm,4,dl_new_kb,0
compressible,cavs-fastcdc-16k,storage,4,store_kb,26339
compressible,cavs-fastcdc-16k,storage,4,export_kb,30552
compressible,cavs-fastcdc-16k,breakdown,4,store_pack_data_kb,22579
compressible,cavs-fastcdc-16k,breakdown,4,store_pack_index_kb,177
compressible,cavs-fastcdc-16k,breakdown,4,store_meta_kb,3580
compressible,cavs-fastcdc-16k,breakdown,4,export_pack_kb,22579
compressible,cavs-fastcdc-16k,breakdown,4,export_index_kb,177
compressible,cavs-fastcdc-16k,breakdown,4,export_manifest_kb,2309
compressible,cavs-fastcdc-16k,breakdown,4,export_chunkmap_kb,3793
compressible,cavs-fastcdc-16k,breakdown,4,export_record_kb,1691
compressible,cavs-fastcdc-16k,logical,4,latest_version_kb,65536
many-files,cavs-fastcdc-16k,push,1,time_s,4.78
many-files,cavs-fastcdc-16k,push,1,remote_kb,184733
many-files,cavs-fastcdc-16k,push,1,remote_growth_kb,184733
many-files,cavs-fastcdc-16k,update,1,time_s,3.91
many-files,cavs-fastcdc-16k,update,1,dl_total_kb,88516
many-files,cavs-fastcdc-16k,push,2,time_s,2.13
many-files,cavs-fastcdc-16k,push,2,remote_kb,195277
many-files,cavs-fastcdc-16k,push,2,remote_growth_kb,10544
many-files,cavs-fastcdc-16k,update,2,time_s,2.43
many-files,cavs-fastcdc-16k,update,2,dl_total_kb,93379
many-files,cavs-fastcdc-16k,push,3,time_s,2.84
many-files,cavs-fastcdc-16k,push,3,remote_kb,203493
many-files,cavs-fastcdc-16k,push,3,remote_growth_kb,8216
many-files,cavs-fastcdc-16k,update,3,time_s,1.97
many-files,cavs-fastcdc-16k,update,3,dl_total_kb,97180
many-files,cavs-fastcdc-16k,push,4,time_s,1.91
many-files,cavs-fastcdc-16k,push,4,remote_kb,211501
many-files,cavs-fastcdc-16k,push,4,remote_growth_kb,8008
many-files,cavs-fastcdc-16k,update,4,time_s,2.05
many-files,cavs-fastcdc-16k,update,4,dl_total_kb,100930
many-files,cavs-fastcdc-16k,clone_cold,4,time_s,3.44
many-files,cavs-fastcdc-16k,clone_cold,4,dl_total_kb,88527
many-files,cavs-fastcdc-16k,verify,4,sha256_ok,1
many-files,cavs-fastcdc-16k,clone_warm,4,time_s,2.92
many-files,cavs-fastcdc-16k,clone_warm,4,dl_new_kb,0
many-files,cavs-fastcdc-16k,storage,4,store_kb,104901
many-files,cavs-fastcdc-16k,storage,4,export_kb,106502
many-files,cavs-fastcdc-16k,breakdown,4,store_pack_data_kb,100947
many-files,cavs-fastcdc-16k,breakdown,4,store_pack_index_kb,327
many-files,cavs-fastcdc-16k,breakdown,4,store_meta_kb,3625
many-files,cavs-fastcdc-16k,breakdown,4,export_pack_kb,100947
many-files,cavs-fastcdc-16k,breakdown,4,export_index_kb,327
many-files,cavs-fastcdc-16k,breakdown,4,export_manifest_kb,1682
many-files,cavs-fastcdc-16k,breakdown,4,export_chunkmap_kb,2219
many-files,cavs-fastcdc-16k,breakdown,4,export_record_kb,1324
many-files,cavs-fastcdc-16k,logical,4,latest_version_kb,88527
big-binary,cavs-fastcdc-64k,push,1,time_s,2.48
big-binary,cavs-fastcdc-64k,push,1,remote_kb,206517
big-binary,cavs-fastcdc-64k,push,1,remote_growth_kb,206517
big-binary,cavs-fastcdc-64k,update,1,time_s,4.51
big-binary,cavs-fastcdc-64k,update,1,dl_total_kb,102400
big-binary,cavs-fastcdc-64k,push,2,time_s,2.11
big-binary,cavs-fastcdc-64k,push,2,remote_kb,215349
big-binary,cavs-fastcdc-64k,push,2,remote_growth_kb,8832
big-binary,cavs-fastcdc-64k,update,2,time_s,2.99
big-binary,cavs-fastcdc-64k,update,2,dl_total_kb,106221
big-binary,cavs-fastcdc-64k,push,3,time_s,2.12
big-binary,cavs-fastcdc-64k,push,3,remote_kb,223728
big-binary,cavs-fastcdc-64k,push,3,remote_growth_kb,8379
big-binary,cavs-fastcdc-64k,update,3,time_s,3.86
big-binary,cavs-fastcdc-64k,update,3,dl_total_kb,109807
big-binary,cavs-fastcdc-64k,push,4,time_s,2.41
big-binary,cavs-fastcdc-64k,push,4,remote_kb,232785
big-binary,cavs-fastcdc-64k,push,4,remote_growth_kb,9057
big-binary,cavs-fastcdc-64k,update,4,time_s,2.73
big-binary,cavs-fastcdc-64k,update,4,dl_total_kb,113728
big-binary,cavs-fastcdc-64k,push,5,time_s,2.05
big-binary,cavs-fastcdc-64k,push,5,remote_kb,241140
big-binary,cavs-fastcdc-64k,push,5,remote_growth_kb,8355
big-binary,cavs-fastcdc-64k,update,5,time_s,2.72
big-binary,cavs-fastcdc-64k,update,5,dl_total_kb,117290
big-binary,cavs-fastcdc-64k,clone_cold,5,time_s,2.84
big-binary,cavs-fastcdc-64k,clone_cold,5,dl_total_kb,106496
big-binary,cavs-fastcdc-64k,verify,5,sha256_ok,1
big-binary,cavs-fastcdc-64k,clone_warm,5,time_s,3.47
big-binary,cavs-fastcdc-64k,clone_warm,5,dl_new_kb,0
big-binary,cavs-fastcdc-64k,storage,5,store_kb,119268
big-binary,cavs-fastcdc-64k,storage,5,export_kb,121845
big-binary,cavs-fastcdc-64k,breakdown,5,store_pack_data_kb,117291
big-binary,cavs-fastcdc-64k,breakdown,5,store_pack_index_kb,76
big-binary,cavs-fastcdc-64k,breakdown,5,store_meta_kb,1900
big-binary,cavs-fastcdc-64k,breakdown,5,export_pack_kb,117291
big-binary,cavs-fastcdc-64k,breakdown,5,export_index_kb,76
big-binary,cavs-fastcdc-64k,breakdown,5,export_manifest_kb,1321
big-binary,cavs-fastcdc-64k,breakdown,5,export_chunkmap_kb,2187
big-binary,cavs-fastcdc-64k,breakdown,5,export_record_kb,968
big-binary,cavs-fastcdc-64k,logical,5,latest_version_kb,106496
compressible,cavs-fastcdc-64k,push,1,time_s,2.52
compressible,cavs-fastcdc-64k,push,1,remote_kb,37617
compressible,cavs-fastcdc-64k,push,1,remote_growth_kb,37617
compressible,cavs-fastcdc-64k,update,1,time_s,4.62
compressible,cavs-fastcdc-64k,update,1,dl_total_kb,65536
compressible,cavs-fastcdc-64k,push,2,time_s,1.92
compressible,cavs-fastcdc-64k,push,2,remote_kb,47325
compressible,cavs-fastcdc-64k,push,2,remote_growth_kb,9708
compressible,cavs-fastcdc-64k,update,2,time_s,2.70
compressible,cavs-fastcdc-64k,update,2,dl_total_kb,81951
compressible,cavs-fastcdc-64k,push,3,time_s,2.10
compressible,cavs-fastcdc-64k,push,3,remote_kb,56558
compressible,cavs-fastcdc-64k,push,3,remote_growth_kb,9233
compressible,cavs-fastcdc-64k,update,3,time_s,3.02
compressible,cavs-fastcdc-64k,update,3,dl_total_kb,97509
compressible,cavs-fastcdc-64k,push,4,time_s,1.89
compressible,cavs-fastcdc-64k,push,4,remote_kb,66129
compressible,cavs-fastcdc-64k,push,4,remote_growth_kb,9571
compressible,cavs-fastcdc-64k,update,4,time_s,3.30
compressible,cavs-fastcdc-64k,update,4,dl_total_kb,113744
compressible,cavs-fastcdc-64k,clone_cold,4,time_s,2.14
compressible,cavs-fastcdc-64k,clone_cold,4,dl_total_kb,65536
compressible,cavs-fastcdc-64k,verify,4,sha256_ok,1
compressible,cavs-fastcdc-64k,clone_warm,4,time_s,2.25
compressible,cavs-fastcdc-64k,clone_warm,4,dl_new_kb,0
compressible,cavs-fastcdc-64k,storage,4,store_kb,32753
compressible,cavs-fastcdc-64k,storage,4,export_kb,33349
compressible,cavs-fastcdc-64k,breakdown,4,store_pack_data_kb,32105
compressible,cavs-fastcdc-64k,breakdown,4,store_pack_index_kb,37
compressible,cavs-fastcdc-64k,breakdown,4,store_meta_kb,610
compressible,cavs-fastcdc-64k,breakdown,4,export_pack_kb,32105
compressible,cavs-fastcdc-64k,breakdown,4,export_index_kb,37
