scenario,system,phase,version,metric,value
big-binary,lfs,push,1,time_s,4.52
big-binary,lfs,push,1,remote_kb,102426
big-binary,lfs,push,1,remote_growth_kb,102426
big-binary,lfs,update,1,time_s,7.00
big-binary,lfs,update,1,dl_total_kb,102400
big-binary,lfs,push,2,time_s,4.34
big-binary,lfs,push,2,remote_kb,205850
big-binary,lfs,push,2,remote_growth_kb,103424
big-binary,lfs,update,2,time_s,5.50
big-binary,lfs,update,2,dl_total_kb,205824
big-binary,lfs,push,3,time_s,4.38
big-binary,lfs,push,3,remote_kb,310298
big-binary,lfs,push,3,remote_growth_kb,104448
big-binary,lfs,update,3,time_s,6.08
big-binary,lfs,update,3,dl_total_kb,310272
big-binary,lfs,push,4,time_s,4.25
big-binary,lfs,push,4,remote_kb,415771
big-binary,lfs,push,4,remote_growth_kb,105473
big-binary,lfs,update,4,time_s,5.07
big-binary,lfs,update,4,dl_total_kb,415744
big-binary,lfs,push,5,time_s,4.87
big-binary,lfs,push,5,remote_kb,522267
big-binary,lfs,push,5,remote_growth_kb,106496
big-binary,lfs,update,5,time_s,5.91
big-binary,lfs,update,5,dl_total_kb,522240
big-binary,lfs,clone_cold,5,time_s,6.62
big-binary,lfs,clone_cold,5,dl_total_kb,106496
big-binary,lfs,verify,5,sha256_ok,1
big-binary,lfs,storage,5,lfs_objects_kb,522240
big-binary,lfs,logical,5,latest_version_kb,106496
big-binary,cavs,push,1,time_s,4.94
big-binary,cavs,push,1,remote_kb,212487
big-binary,cavs,push,1,remote_growth_kb,212487
big-binary,cavs,update,1,time_s,7.22
big-binary,cavs,update,1,dl_total_kb,102400
big-binary,cavs,push,2,time_s,3.37
big-binary,cavs,push,2,remote_kb,223781
big-binary,cavs,push,2,remote_growth_kb,11294
big-binary,cavs,update,2,time_s,4.69
big-binary,cavs,update,2,dl_total_kb,105351
big-binary,cavs,push,3,time_s,3.45
big-binary,cavs,push,3,remote_kb,234744
big-binary,cavs,push,3,remote_growth_kb,10963
big-binary,cavs,update,3,time_s,4.90
big-binary,cavs,update,3,dl_total_kb,108114
big-binary,cavs,push,4,time_s,3.49
big-binary,cavs,push,4,remote_kb,246545
big-binary,cavs,push,4,remote_growth_kb,11801
big-binary,cavs,update,4,time_s,4.68
big-binary,cavs,update,4,dl_total_kb,111267
big-binary,cavs,push,5,time_s,3.69
big-binary,cavs,push,5,remote_kb,258621
big-binary,cavs,push,5,remote_growth_kb,12076
big-binary,cavs,update,5,time_s,4.49
big-binary,cavs,update,5,dl_total_kb,114528
big-binary,cavs,clone_cold,5,time_s,5.67
big-binary,cavs,clone_cold,5,dl_total_kb,106496
big-binary,cavs,verify,5,sha256_ok,1
big-binary,cavs,clone_warm,5,time_s,4.72
big-binary,cavs,clone_warm,5,dl_new_kb,0
big-binary,cavs,storage,5,store_kb,123440
big-binary,cavs,storage,5,export_kb,135154
big-binary,cavs,breakdown,5,store_pack_data_kb,114529
big-binary,cavs,breakdown,5,store_pack_index_kb,337
big-binary,cavs,breakdown,5,store_meta_kb,8573
big-binary,cavs,breakdown,5,export_pack_kb,114529
big-binary,cavs,breakdown,5,export_index_kb,337
big-binary,cavs,breakdown,5,export_manifest_kb,5977
big-binary,cavs,breakdown,5,export_chunkmap_kb,9926
big-binary,cavs,breakdown,5,export_record_kb,4382
big-binary,cavs,logical,5,latest_version_kb,106496
compressible,lfs,push,1,time_s,4.98
compressible,lfs,push,1,remote_kb,65562
compressible,lfs,push,1,remote_growth_kb,65562
compressible,lfs,update,1,time_s,5.20
compressible,lfs,update,1,dl_total_kb,65536
compressible,lfs,push,2,time_s,5.30
compressible,lfs,push,2,remote_kb,131098
compressible,lfs,push,2,remote_growth_kb,65536
compressible,lfs,update,2,time_s,6.30
compressible,lfs,update,2,dl_total_kb,131072
compressible,lfs,push,3,time_s,4.81
compressible,lfs,push,3,remote_kb,196634
compressible,lfs,push,3,remote_growth_kb,65536
compressible,lfs,update,3,time_s,5.42
compressible,lfs,update,3,dl_total_kb,196608
compressible,lfs,push,4,time_s,4.97
compressible,lfs,push,4,remote_kb,262171
compressible,lfs,push,4,remote_growth_kb,65537
compressible,lfs,update,4,time_s,5.66
compressible,lfs,update,4,dl_total_kb,262144
compressible,lfs,clone_cold,4,time_s,5.30
compressible,lfs,clone_cold,4,dl_total_kb,65536
compressible,lfs,verify,4,sha256_ok,1
compressible,lfs,storage,4,lfs_objects_kb,262144
compressible,lfs,logical,4,latest_version_kb,65536
compressible,cavs,push,1,time_s,4.29
compressible,cavs,push,1,remote_kb,41116
compressible,cavs,push,1,remote_growth_kb,41116
compressible,cavs,update,1,time_s,6.65
compressible,cavs,update,1,dl_total_kb,65464
compressible,cavs,push,2,time_s,3.30
compressible,cavs,push,2,remote_kb,46484
compressible,cavs,push,2,remote_growth_kb,5368
compressible,cavs,update,2,time_s,4.95
compressible,cavs,update,2,dl_total_kb,70251
compressible,cavs,push,3,time_s,3.52
compressible,cavs,push,3,remote_kb,51710
compressible,cavs,push,3,remote_growth_kb,5226
compressible,cavs,update,3,time_s,4.42
compressible,cavs,update,3,dl_total_kb,74741
compressible,cavs,push,4,time_s,3.69
compressible,cavs,push,4,remote_kb,56918
compressible,cavs,push,4,remote_growth_kb,5208
compressible,cavs,update,4,time_s,4.53
compressible,cavs,update,4,dl_total_kb,79273
compressible,cavs,clone_cold,4,time_s,4.72
compressible,cavs,clone_cold,4,dl_total_kb,65464
compressible,cavs,verify,4,sha256_ok,1
compressible,cavs,clone_warm,4,time_s,4.22
compressible,cavs,clone_warm,4,dl_new_kb,0
compressible,cavs,storage,4,store_kb,26339
compressible,cavs,storage,4,export_kb,30552
compressible,cavs,breakdown,4,store_pack_data_kb,22579
compressible,cavs,breakdown,4,store_pack_index_kb,177
compressible,cavs,breakdown,4,store_meta_kb,3580
compressible,cavs,breakdown,4,export_pack_kb,22579
compressible,cavs,breakdown,4,export_index_kb,177
compressible,cavs,breakdown,4,export_manifest_kb,2309
compressible,cavs,breakdown,4,export_chunkmap_kb,3793
compressible,cavs,breakdown,4,export_record_kb,1691
compressible,cavs,logical,4,latest_version_kb,65536
many-files,lfs,push,1,time_s,4.79
many-files,lfs,push,1,remote_kb,88587
many-files,lfs,push,1,remote_growth_kb,88587
many-files,lfs,update,1,time_s,5.87
many-files,lfs,update,1,dl_total_kb,88516
many-files,lfs,push,2,time_s,4.39
many-files,lfs,push,2,remote_kb,100250
many-files,lfs,push,2,remote_growth_kb,11663
many-files,lfs,update,2,time_s,5.92
many-files,lfs,update,2,dl_total_kb,100170
many-files,lfs,push,3,time_s,4.78
many-files,lfs,push,3,remote_kb,108318
many-files,lfs,push,3,remote_growth_kb,8068
many-files,lfs,update,3,time_s,5.25
many-files,lfs,update,3,dl_total_kb,108230
many-files,lfs,push,4,time_s,4.58
many-files,lfs,push,4,remote_kb,114392
many-files,lfs,push,4,remote_growth_kb,6074
many-files,lfs,update,4,time_s,5.28
many-files,lfs,update,4,dl_total_kb,114294
many-files,lfs,clone_cold,4,time_s,6.22
many-files,lfs,clone_cold,4,dl_total_kb,88527
many-files,lfs,verify,4,sha256_ok,1
many-files,lfs,storage,4,lfs_objects_kb,114294
many-files,lfs,logical,4,latest_version_kb,88527
many-files,cavs,push,1,time_s,5.44
many-files,cavs,push,1,remote_kb,184701
many-files,cavs,push,1,remote_growth_kb,184701
many-files,cavs,update,1,time_s,7.13
many-files,cavs,update,1,dl_total_kb,88516
many-files,cavs,push,2,time_s,3.58
many-files,cavs,push,2,remote_kb,195242
many-files,cavs,push,2,remote_growth_kb,10541
many-files,cavs,update,2,time_s,4.48
many-files,cavs,update,2,dl_total_kb,93379
many-files,cavs,push,3,time_s,3.78
many-files,cavs,push,3,remote_kb,203454
many-files,cavs,push,3,remote_growth_kb,8212
many-files,cavs,update,3,time_s,4.31
many-files,cavs,update,3,dl_total_kb,97180
many-files,cavs,push,4,time_s,4.57
many-files,cavs,push,4,remote_kb,211458
many-files,cavs,push,4,remote_growth_kb,8004
many-files,cavs,update,4,time_s,4.77
many-files,cavs,update,4,dl_total_kb,100930
many-files,cavs,clone_cold,4,time_s,5.39
many-files,cavs,clone_cold,4,dl_total_kb,88527
many-files,cavs,verify,4,sha256_ok,1
many-files,cavs,clone_warm,4,time_s,4.78
many-files,cavs,clone_warm,4,dl_new_kb,0
many-files,cavs,storage,4,store_kb,104872
many-files,cavs,storage,4,export_kb,106488
many-files,cavs,breakdown,4,store_pack_data_kb,100930
