scenario,system,phase,version,metric,value
big-binary,cavs,push,1,time_s,4.96
big-binary,cavs,push,1,remote_kb,212487
big-binary,cavs,push,1,remote_growth_kb,212487
big-binary,cavs,update,1,time_s,7.92
big-binary,cavs,update,1,dl_total_kb,102400
big-binary,cavs,push,2,time_s,4.22
big-binary,cavs,push,2,remote_kb,223781
big-binary,cavs,push,2,remote_growth_kb,11294
big-binary,cavs,update,2,time_s,5.33
big-binary,cavs,update,2,dl_total_kb,105351
big-binary,cavs,push,3,time_s,2.83
big-binary,cavs,push,3,remote_kb,234744
big-binary,cavs,push,3,remote_growth_kb,10963
big-binary,cavs,update,3,time_s,4.24
big-binary,cavs,update,3,dl_total_kb,108114
big-binary,cavs,push,4,time_s,3.90
big-binary,cavs,push,4,remote_kb,246545
big-binary,cavs,push,4,remote_growth_kb,11801
big-binary,cavs,update,4,time_s,5.75
big-binary,cavs,update,4,dl_total_kb,111267
big-binary,cavs,push,5,time_s,3.58
big-binary,cavs,push,5,remote_kb,258621
big-binary,cavs,push,5,remote_growth_kb,12076
big-binary,cavs,update,5,time_s,4.65
big-binary,cavs,update,5,dl_total_kb,114528
big-binary,cavs,clone_cold,5,time_s,4.98
big-binary,cavs,clone_cold,5,dl_total_kb,106496
big-binary,cavs,verify,5,sha256_ok,1
big-binary,cavs,clone_warm,5,time_s,3.99
big-binary,cavs,clone_warm,5,dl_new_kb,0
big-binary,cavs,storage,5,store_kb,123440
big-binary,cavs,storage,5,export_kb,135154
big-binary,cavs,breakdown,5,store_pack_data_kb,114529
big-binary,cavs,breakdown,5,store_pack_index_kb,337
big-binary,cavs,breakdown,5,store_meta_kb,8573
big-binary,cavs,breakdown,5,export_pack_kb,114529
big-binary,cavs,breakdown,5,export_index_kb,337
big-binary,cavs,breakdown,5,export_manifest_kb,5977
big-binary,cavs,breakdown,5,export_chunkmap_kb,9926
big-binary,cavs,breakdown,5,export_record_kb,4382
big-binary,cavs,logical,5,latest_version_kb,106496
compressible,cavs,push,1,time_s,4.09
compressible,cavs,push,1,remote_kb,41116
compressible,cavs,push,1,remote_growth_kb,41116
compressible,cavs,update,1,time_s,6.16
compressible,cavs,update,1,dl_total_kb,65464
compressible,cavs,push,2,time_s,3.45
compressible,cavs,push,2,remote_kb,46484
compressible,cavs,push,2,remote_growth_kb,5368
compressible,cavs,update,2,time_s,4.08
compressible,cavs,update,2,dl_total_kb,70251
compressible,cavs,push,3,time_s,2.96
compressible,cavs,push,3,remote_kb,51710
compressible,cavs,push,3,remote_growth_kb,5226
compressible,cavs,update,3,time_s,4.70
compressible,cavs,update,3,dl_total_kb,74741
compressible,cavs,push,4,time_s,3.29
compressible,cavs,push,4,remote_kb,56918
compressible,cavs,push,4,remote_growth_kb,5208
compressible,cavs,update,4,time_s,4.33
compressible,cavs,update,4,dl_total_kb,79273
compressible,cavs,clone_cold,4,time_s,4.55
compressible,cavs,clone_cold,4,dl_total_kb,65464
compressible,cavs,verify,4,sha256_ok,1
compressible,cavs,clone_warm,4,time_s,4.35
compressible,cavs,clone_warm,4,dl_new_kb,0
compressible,cavs,storage,4,store_kb,26339
compressible,cavs,storage,4,export_kb,30552
compressible,cavs,breakdown,4,store_pack_data_kb,22579
compressible,cavs,breakdown,4,store_pack_index_kb,177
compressible,cavs,breakdown,4,store_meta_kb,3580
compressible,cavs,breakdown,4,export_pack_kb,22579
compressible,cavs,breakdown,4,export_index_kb,177
compressible,cavs,breakdown,4,export_manifest_kb,2309
compressible,cavs,breakdown,4,export_chunkmap_kb,3793
compressible,cavs,breakdown,4,export_record_kb,1691
compressible,cavs,logical,4,latest_version_kb,65536
many-files,cavs,push,1,time_s,7.07
many-files,cavs,push,1,remote_kb,184733
many-files,cavs,push,1,remote_growth_kb,184733
many-files,cavs,update,1,time_s,6.65
many-files,cavs,update,1,dl_total_kb,88516
many-files,cavs,push,2,time_s,3.70
many-files,cavs,push,2,remote_kb,195277
many-files,cavs,push,2,remote_growth_kb,10544
many-files,cavs,update,2,time_s,4.37
many-files,cavs,update,2,dl_total_kb,93379
many-files,cavs,push,3,time_s,5.18
many-files,cavs,push,3,remote_kb,203493
many-files,cavs,push,3,remote_growth_kb,8216
many-files,cavs,update,3,time_s,4.50
many-files,cavs,update,3,dl_total_kb,97180
many-files,cavs,push,4,time_s,4.16
many-files,cavs,push,4,remote_kb,211501
many-files,cavs,push,4,remote_growth_kb,8008
many-files,cavs,update,4,time_s,4.06
many-files,cavs,update,4,dl_total_kb,100930
many-files,cavs,clone_cold,4,time_s,5.47
many-files,cavs,clone_cold,4,dl_total_kb,88527
many-files,cavs,verify,4,sha256_ok,1
many-files,cavs,clone_warm,4,time_s,4.98
many-files,cavs,clone_warm,4,dl_new_kb,0
many-files,cavs,storage,4,store_kb,104901
many-files,cavs,storage,4,export_kb,106502
many-files,cavs,breakdown,4,store_pack_data_kb,100947
many-files,cavs,breakdown,4,store_pack_index_kb,327
many-files,cavs,breakdown,4,store_meta_kb,3625
many-files,cavs,breakdown,4,export_pack_kb,100947
many-files,cavs,breakdown,4,export_index_kb,327
many-files,cavs,breakdown,4,export_manifest_kb,1682
many-files,cavs,breakdown,4,export_chunkmap_kb,2219
many-files,cavs,breakdown,4,export_record_kb,1324
many-files,cavs,logical,4,latest_version_kb,88527
full-rewrite,cavs,push,1,time_s,4.86
full-rewrite,cavs,push,1,remote_kb,102015
full-rewrite,cavs,push,1,remote_growth_kb,102015
full-rewrite,cavs,update,1,time_s,7.15
full-rewrite,cavs,update,1,dl_total_kb,49152
full-rewrite,cavs,push,2,time_s,4.69
full-rewrite,cavs,push,2,remote_kb,203986
full-rewrite,cavs,push,2,remote_growth_kb,101971
full-rewrite,cavs,update,2,time_s,4.92
full-rewrite,cavs,update,2,dl_total_kb,98304
full-rewrite,cavs,clone_cold,2,time_s,4.69
full-rewrite,cavs,clone_cold,2,dl_total_kb,49152
full-rewrite,cavs,verify,2,sha256_ok,1
full-rewrite,cavs,clone_warm,2,time_s,3.96
full-rewrite,cavs,clone_warm,2,dl_new_kb,0
full-rewrite,cavs,storage,2,store_kb,101548
full-rewrite,cavs,storage,2,export_kb,102411
full-rewrite,cavs,breakdown,2,store_pack_data_kb,98304
full-rewrite,cavs,breakdown,2,store_pack_index_kb,289
full-rewrite,cavs,breakdown,2,store_meta_kb,2954
full-rewrite,cavs,breakdown,2,export_pack_kb,98304
full-rewrite,cavs,breakdown,2,export_index_kb,289
full-rewrite,cavs,breakdown,2,export_manifest_kb,1125
full-rewrite,cavs,breakdown,2,export_chunkmap_kb,1866
full-rewrite,cavs,breakdown,2,export_record_kb,825
full-rewrite,cavs,logical,2,latest_version_kb,49152
tensor,cavs,push,1,time_s,4.26
tensor,cavs,push,1,remote_kb,51658
tensor,cavs,push,1,remote_growth_kb,51658
tensor,cavs,update,1,time_s,6.12
tensor,cavs,update,1,dl_total_kb,32768
tensor,cavs,push,2,time_s,3.53
tensor,cavs,push,2,remote_kb,56288
tensor,cavs,push,2,remote_growth_kb,4630
tensor,cavs,update,2,time_s,4.69
tensor,cavs,update,2,dl_total_kb,34674
tensor,cavs,push,3,time_s,3.42
tensor,cavs,push,3,remote_kb,63185
tensor,cavs,push,3,remote_growth_kb,6897
tensor,cavs,update,3,time_s,4.31
tensor,cavs,update,3,dl_total_kb,38111
tensor,cavs,clone_cold,3,time_s,4.38
tensor,cavs,clone_cold,3,dl_total_kb,32768
tensor,cavs,verify,3,sha256_ok,1
tensor,cavs,clone_warm,3,time_s,4.13
tensor,cavs,clone_warm,3,dl_new_kb,0
tensor,cavs,storage,3,store_kb,30624
tensor,cavs,storage,3,export_kb,32534
tensor,cavs,breakdown,3,store_pack_data_kb,28612
tensor,cavs,breakdown,3,store_pack_index_kb,112
tensor,cavs,breakdown,3,store_meta_kb,1900
tensor,cavs,breakdown,3,export_pack_kb,28612
tensor,cavs,breakdown,3,export_index_kb,112
tensor,cavs,breakdown,3,export_manifest_kb,1124
tensor,cavs,breakdown,3,export_chunkmap_kb,1859
tensor,cavs,breakdown,3,export_record_kb,825
tensor,cavs,logical,3,latest_version_kb,32768
cross-repo,cavs,push-a,1,time_s,3.80
cross-repo,cavs,push-a,1,remote_kb,212487
cross-repo,cavs,push-a,1,remote_growth_kb,212487
cross-repo,cavs,push-b,1,time_s,4.40
cross-repo,cavs,push-b,1,remote_kb,223781
cross-repo,cavs,push-b,1,remote_growth_kb,11294
cross-repo,cavs,verify,1,sha256_ok,1
cross-repo,cavs,storage,1,store_kb,110094
cross-repo,cavs,storage,1,export_kb,113660
cross-repo,cavs,breakdown,1,store_pack_data_kb,105351
cross-repo,cavs,breakdown,1,store_pack_index_kb,310
cross-repo,cavs,breakdown,1,store_meta_kb,4432
cross-repo,cavs,breakdown,1,export_pack_kb,105351
cross-repo,cavs,breakdown,1,export_index_kb,310
cross-repo,cavs,breakdown,1,export_manifest_kb,2356
cross-repo,cavs,breakdown,1,export_chunkmap_kb,3914
cross-repo,cavs,breakdown,1,export_record_kb,1727
