from,to,policies,engine,raw_patch_bytes,compressed_patch_bytes,diff_ms,apply_ms,verify_ms,peak_rss_mib,verified
v01,v02,adjacent+ladder+base-candidate:v01+hot-pairs+all-pairs,cavsplan,525248,525248,116,28,45,,true
v01,v02,adjacent+ladder+base-candidate:v01+hot-pairs+all-pairs,bsdiff,529462,529462,6435,155,56,616.8,true
v01,v02,adjacent+ladder+base-candidate:v01+hot-pairs+all-pairs,xdelta3,525101,525101,261,120,52,240.1,true
v02,v03,adjacent+ladder+hot-pairs+all-pairs,cavsplan,525178,525178,91,24,40,,true
v02,v03,adjacent+ladder+hot-pairs+all-pairs,bsdiff,529581,529581,6186,132,53,616.8,true
v02,v03,adjacent+ladder+hot-pairs+all-pairs,xdelta3,525066,525066,236,102,49,240.2,true
v03,v04,adjacent+ladder+hot-pairs+all-pairs,cavsplan,656218,656218,105,24,38,,true
v03,v04,adjacent+ladder+hot-pairs+all-pairs,bsdiff,660812,660812,6504,171,55,616.8,true
v03,v04,adjacent+ladder+hot-pairs+all-pairs,xdelta3,656094,656094,299,166,65,240.6,true
v04,v05,adjacent+ladder+hot-pairs+all-pairs,cavsplan,394204,394204,96,34,40,,true
v04,v05,adjacent+ladder+hot-pairs+all-pairs,bsdiff,397902,397902,5981,149,51,616.8,true
v04,v05,adjacent+ladder+hot-pairs+all-pairs,xdelta3,394103,394103,268,115,48,240.0,true
v05,v06,adjacent+ladder+base-candidate:v06+hot-pairs+all-pairs,cavsplan,263273,263273,87,22,38,,true
v05,v06,adjacent+ladder+base-candidate:v06+hot-pairs+all-pairs,bsdiff,266874,266874,5840,135,44,616.8,true
v05,v06,adjacent+ladder+base-candidate:v06+hot-pairs+all-pairs,xdelta3,263034,263034,189,138,48,239.6,true
v06,v07,adjacent+ladder+base-candidate:v06+hot-pairs+all-pairs,cavsplan,656194,656194,100,24,39,,true
v06,v07,adjacent+ladder+base-candidate:v06+hot-pairs+all-pairs,bsdiff,660664,660664,6480,126,51,616.8,true
v06,v07,adjacent+ladder+base-candidate:v06+hot-pairs+all-pairs,xdelta3,656104,656104,310,130,54,240.2,true
v07,v08,adjacent+ladder+hot-pairs+all-pairs,cavsplan,394145,394145,89,22,39,,true
v07,v08,adjacent+ladder+hot-pairs+all-pairs,bsdiff,398015,398015,5998,125,47,616.8,true
v07,v08,adjacent+ladder+hot-pairs+all-pairs,xdelta3,394067,394067,266,127,46,239.7,true
v08,v09,adjacent+ladder+hot-pairs+all-pairs,cavsplan,525244,525244,93,23,38,,true
v08,v09,adjacent+ladder+hot-pairs+all-pairs,bsdiff,529528,529528,6220,133,52,616.8,true
