policy,from,to,rule,probability,bytes,steps,apply_ms,verify_ms,covered
adjacent,v01,v02,adjacent,0.088889,525248,1,28,45,true
adjacent,v01,v03,skip_range,0.007143,1050426,2,52,85,true
adjacent,v01,v04,skip_range,0.007143,1706644,3,76,123,true
adjacent,v01,v05,skip_range,0.007143,2100848,4,110,163,true
adjacent,v01,v10,old_to_latest,0.010000,4399444,9,225,355,true
adjacent,v02,v03,adjacent,0.088889,525178,1,24,40,true
adjacent,v02,v04,skip_range,0.007143,1181396,2,48,78,true
adjacent,v02,v05,skip_range,0.007143,1575600,3,82,118,true
adjacent,v02,v06,skip_range,0.007143,1838873,4,104,156,true
adjacent,v02,v10,old_to_latest,0.010000,3874196,8,197,310,true
adjacent,v03,v04,adjacent,0.088889,656218,1,24,38,true
adjacent,v03,v05,skip_range,0.007143,1050422,2,58,78,true
adjacent,v03,v06,skip_range,0.007143,1313695,3,80,116,true
adjacent,v03,v07,skip_range,0.007143,1969889,4,104,155,true
adjacent,v03,v10,old_to_latest,0.010000,3349018,7,173,270,true
adjacent,v04,v05,adjacent,0.088889,394204,1,34,40,true
adjacent,v04,v06,skip_range,0.007143,657477,2,56,78,true
adjacent,v04,v07,skip_range,0.007143,1313671,3,80,117,true
adjacent,v04,v08,skip_range,0.007143,1707816,4,102,156,true
adjacent,v04,v10,old_to_latest,0.010000,2692800,6,149,232,true
adjacent,v05,v06,adjacent,0.088889,263273,1,22,38,true
adjacent,v05,v07,skip_range,0.007143,919467,2,46,77,true
adjacent,v05,v08,skip_range,0.007143,1313612,3,68,116,true
adjacent,v05,v09,skip_range,0.007143,1838856,4,91,154,true
adjacent,v06,v07,adjacent,0.088889,656194,1,24,39,true
adjacent,v06,v08,skip_range,0.007143,1050339,2,46,78,true
adjacent,v06,v09,skip_range,0.007143,1575583,3,69,116,true
adjacent,v06,v10,skip_range,0.007143,2035323,4,93,154,true
adjacent,v07,v08,adjacent,0.088889,394145,1,22,39,true
adjacent,v07,v09,skip_range,0.007143,919389,2,45,77,true
adjacent,v07,v10,skip_range,0.007143,1379129,3,69,115,true
